Season_Number,Startup_Name,Episode_Number,Pitch_Number,Season_Start,Season_End,Original_Air_Date,Episode_Title,Anchor,Industry,Business_Description,Company_Website,Started_in,Number_of_Presenters,Male_Presenters,Female_Presenters,Transgender_Presenters,Couple_Presenters,Pitchers_Average_Age,Pitchers_City,Pitchers_State,Yearly_Revenue(in_lakhs),Monthly_Sales(in_lakhs),Gross_Margin,Net_Margin,EBITDA,Cash_Burn,SKUs,Has_Patents,Bootstrapped,Original_Ask_Amount,Original_Offered_Equity(in_%),Valuation_Requested(in_lakhs),Received_Offer,Accepted_Offer,Total_Deal_Amount(in_lakhs),Total_Deal_Equity(%),Number_of_Sharks_in_Deal,Namita_Investment_Amount(in lakhs),Vineeta_Investment_Amount(in_lakhs),Anupam_Investment_Amount(in_lakhs),Aman_Investment_Amount(in_lakhs),Peyush_Investment_Amount((in_lakhs),Amit_Investment_Amount(in_lakhs),Ashneer_Investment_Amount,Namita_Present,Vineeta_Present,Anupam_Present,Aman_Present,Peyush_Present,Amit_Present,Ashneer_Present
1,BluePineFoods,1,1,2021-12-20,2022-02-04,2021-12-20,Badlegi0Business0Ki0Tasveer,Rannvijay0Singh,Food,Frozen0Momos,https://bluepinefoods.com/,2016,3,2,1,,0,Middle,Delhi,Delhi,95,8,,,,,,,,50,5,1000,Yes,Yes,75,16,3,,25,,25,,,25,Yes,Yes,Yes,Yes,,,Yes
1,BoozScooters,1,2,2021-12-20,2022-02-04,2021-12-20,Badlegi0Business0Ki0Tasveer,Rannvijay0Singh,Vehicles/Electrical0Vehicles,Renting0e-bike0for0mobility0in0private0spaces,https://www.boozup.net/,2017,1,1,,,0,Young,Ahmedabad,Gujarat,4,0.4,,,,,,,,40,15,267,Yes,Yes,40,50,2,,20,,,,,20,Yes,Yes,Yes,Yes,,,Yes
1,HeartUpMySleeves,1,3,2021-12-20,2022-02-04,2021-12-20,Badlegi0Business0Ki0Tasveer,Rannvijay0Singh,Beauty/Fashion,Detachable0Sleeves,https://heartupmysleeves.com/,2021,1,,1,,0,Young,Delhi,Delhi,,2,,,,,,,,25,10,250,Yes,Yes,25,30,2,,12.5,12.5,,,,,Yes,Yes,Yes,Yes,,,Yes
1,TagzFoods,2,4,2021-12-20,2022-02-04,2021-12-21,"Insaan,0Ideas0Aur0Sapne",Rannvijay0Singh,Food,Healthy0Potato0Chips0Snacks,https://tagzfoods.com/,2019,2,2,,,0,Middle,Bangalore,Karnataka,700,,48,,,,,,,70,1,7000,Yes,Yes,70,2.75,1,,,,,,,70,Yes,Yes,Yes,Yes,,,Yes
1,HeadAndHeart,2,5,2021-12-20,2022-02-04,2021-12-21,"Insaan,0Ideas0Aur0Sapne",Rannvijay0Singh,Education,Brain0Development0Course,https://thehnh.in/,2015,4,1,3,,1,Middle,Patiala,Punjab,30,,,,,,,,,50,5,1000,No,,,,,,,,,,,,Yes,Yes,Yes,Yes,,,Yes
1,Agritourism,2,6,2021-12-20,2022-02-04,2021-12-21,"Insaan,0Ideas0Aur0Sapne",Rannvijay0Singh,Agriculture,Tourism,https://www.agritourism.in/,2005,2,1,1,,1,Middle,Baramati,Maharashtra,79,,,,,,,,,50,5,1000,No,,,,,,,,,,,,Yes,Yes,Yes,Yes,,,Yes
1,qZenseLabs,3,7,2021-12-20,2022-02-04,2021-12-22,Aam0Aadmi0Ke0Business0Ideas,Rannvijay0Singh,Food,Food0Freshness0Detector,https://www.qzense.com/,2020,2,,2,,0,Middle,"Delhi,Mohali","Delhi,Punjab",25,15,,,,,,yes,,100,0.25,40000,Yes,No,,,,,,,,,,,Yes,Yes,Yes,Yes,,,Yes
1,Peeschute,3,8,2021-12-20,2022-02-04,2021-12-22,Aam0Aadmi0Ke0Business0Ideas,Rannvijay0Singh,Beauty/Fashion,Disposable0Urine0Bag,https://www.peeschute.com/,2019,1,1,,,0,Young,Jalna,Maharashtra,100,,,,,,2,,,75,4,1875,Yes,Yes,75,6,1,,,,75,,,,Yes,Yes,Yes,Yes,,,Yes
1,NOCD,3,9,2021-12-20,2022-02-04,2021-12-22,Aam0Aadmi0Ke0Business0Ideas,Rannvijay0Singh,Food,Energy0Drink,https://www.jouleshealth.com/,2019,2,2,,,0,Middle,Bangalore,Karnataka,,20,,,,,,,,50,2,2500,Yes,Yes,20,15,1,,20,,,,,,Yes,Yes,Yes,Yes,,,Yes
1,CosIQ,4,10,2021-12-20,2022-02-04,2021-12-23,Entrepreneurship0Ki0Wave,Rannvijay0Singh,Beauty/Fashion,Intelligent0Skincare,https://mycosiq.com/,2021,2,1,1,,1,Middle,Delhi,Delhi,0,4,75,20,,,8,,,50,7.5,667,Yes,Yes,50,25,2,,25,25,,,,,Yes,Yes,Yes,Yes,,,Yes
