hotel_name,rating,time_minutes,food_type,location,offer_above,offer_percentage
McDonald's,4.5 ,27,"Burgers, Beverages, Cafe, Desserts",Kandivali East,75,30
KFC,4.2 ,30,"Burgers, Biryani, American, Snacks, Fast Food",Kandivali East,80,40
Domino's Pizza,4.3 ,25,"Pizzas, Italian, Pastas, Desserts",Thakur Village,299,not_available
Charcoal Eats - Biryani & Beyond,4.3 ,24,"Biryani, Kebabs, Hyderabadi, North Indian",Malad Kan East,100,50
Sandwizzaa,4.6 ,22,"Snacks, Fast Food, Beverages, Jain",Kandivali East,120,60
1441 Pizzeria,3.8 ,32,"Italian, Pizzas, Pastas",Kandivali East,120,60
Hangout Cakes & More,4.4 ,24,"Desserts, Bakery",Borivali West,150,60
Love & Cheesecake ,4.5 ,14,Desserts,Kandivali East,not_available,not_available
Nothing But Chicken,4.5 ,22,"Salads, Biryani, Kebabs, Fast Food, Healthy Food",Kandivali East,50,20
Sweet Bengal,4.6 ,13,"Sweets, Indian, Snacks, Desserts",Kandivali East,50,20
Atta Girl,4.7 ,27,South Indian,Malad West,not_available,not_available
NIC Ice Creams,4.7 ,17,"Ice Cream, Desserts",Kandivali East,149,not_available
Poetry By Love & Cheesecake,4.4 ,34,Desserts,Kandivali West,not_available,not_available
Havmor Havfunn Ice Cream,4.6 ,18,"Ice Cream, Ice Cream Cakes, Desserts, Beverages",Malad Kan East,not_available,not_available
NOTO - Ice Creams & Desserts,4.6 ,15,Ice Cream,Kandivali East,799,not_available
McDonald's Gourmet Burger Collection,4.3 ,26,"Burgers, Beverages, Cafe, Desserts",Malad Kan East,not_available,not_available
Grameen Kulfi,4.7 ,16,"Ice Cream, Desserts",Kandivali East,99,not_available
Surbhi Sweets And Snacks,4.2 ,24,"Sweets, Chaat, Snacks, Desserts, Beverages, Indian",Dahisar East,599,not_available
Jumboking Indian Burger,4.5 ,25,"American, Mexican, Fast Food, Snacks, Beverages",Dahisar East,449,not_available
Theobroma,4.5 ,23,"Bakery, Desserts",Borivali West,999,not_available
Amul Real Milk Real Ice Cream,4.3 ,29,Ice Cream,Borivali West,749,not_available
"Dabba Garam (Homestyle,Combo, Thali & More)",4.5 ,35,"Home Food, North Indian, Thai",Borivali,45,15
KFC,4.2 ,30,"Burgers, Biryani, American, Snacks, Fast Food",Kandivali East,80,40
McDonald's,4.5 ,27,"Burgers, Beverages, Cafe, Desserts",Kandivali East,75,30
Bakingo-Cakes & Desserts,4.4 ,33,"Bakery, Desserts, Beverages, Snacks",Kandivali West,999,not_available
Domino's Pizza,4.3 ,25,"Pizzas, Italian, Pastas, Desserts",Thakur Village,299,not_available
NH1 Bowls - Highway To North,4.7 ,11-21,"North Indian, Punjabi, Home Food",Kandivali East,100,50
63 By-Lane,4.3 ,36,"Pizzas, Pastas, Salads",Malad Kan East,699,not_available
Nishi Home Delites,4.6 ,27,"Indian, Punjabi",Kandivali East,FREE ITEM,not_available
Rasobongo,4.4 ,13,"Bengali, Sweets, Desserts, Snacks",Kandivali East,40,10
Central Prabhu,4.4 ,35,"Mughlai, North Indian, Chinese, Konkan, Malwani",Borivali East,299,not_available
Peetuk,4.2 ,22,"Biryani, Bengali",Kandivali East,249,not_available
